,rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license
2074,4.0,no,bkcchi,2 (stereo),2013-06-19,both,24,XC139055.mp3,both,Black-capped Chickadee,4-6,XC139055 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Noland Divide Trail, Great Smoky Mountains National Park, Tennessee",35.5727,44100 (Hz),call,1700 m,,128000 (bps),mp3,level,,139055,https://www.xeno-canto.org/139055,United States,Mike Nelson,Poecile atricapillus_Black-capped Chickadee,-83.4804,0-3(s),07:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2075,3.5,no,bkcchi,1 (mono),2013-06-22,Not specified,43,XC139438.mp3,Not specified,Black-capped Chickadee,Not specified,XC139438 Black-capped Chickadee (Poecile atricapillus),"['Geothlypis trichas_Common Yellowthroat', 'Baeolophus bicolor_Tufted Titmouse', 'Setophaga ruticilla_American Redstart']",yes,Poecile atricapillus," Millbury, Worcester, Massachusetts",42.1752,22050 (Hz),"begging call, call",180 m,Flock of Black-capped Chickadee's-making their way along the trail.  Included begging young.,64000 (bps),mp3,Not specified,Common Yellowthroat (Geothlypis trichas); Tufted Titmouse (Baeolophus bicolor); American Redstart (Setophaga ruticilla),139438,https://www.xeno-canto.org/139438,United States,Kim Allen,Poecile atricapillus_Black-capped Chickadee,-71.7854,Not specified,06:45,Kim Allen,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2076,5.0,no,bkcchi,2 (stereo),2013-06-23,both,24,XC139603.mp3,level,Black-capped Chickadee,1-3,XC139603 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Appalachian Trail, near New Found Gap, Sevier, Tennessee",35.6151,44100 (Hz),song,1700 m,,128000 (bps),mp3,level,,139603,https://www.xeno-canto.org/139603,United States,Mike Nelson,Poecile atricapillus_Black-capped Chickadee,-83.4151,0-3(s),08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2077,4.0,no,bkcchi,2 (stereo),2013-06-23,both,70,XC139605.mp3,level,Black-capped Chickadee,1-3,XC139605 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Appalachian Trail, near New Found Gap, Sevier, Tennessee",35.6151,44100 (Hz),song,1700 m,img:http://www.flickr.com/photos/madbirder/9122049578/in/photostream/,128000 (bps),mp3,level,,139605,https://www.xeno-canto.org/139605,United States,Mike Nelson,Poecile atricapillus_Black-capped Chickadee,-83.4151,0-3(s),08:30,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2078,3.5,no,bkcchi,2 (stereo),2013-06-16,level,46,XC139987.mp3,both,Black-capped Chickadee,4-6,XC139987 Black-capped Chickadee (Poecile atricapillus),"['Cyanocitta cristata_Blue Jay', 'Setophaga virens_Black-throated Green Warbler']",yes,Poecile atricapillus," Saint-Urbain, Charlevoix, Québec",47.5632,44100 (Hz),"begging call, call, juvenile",90 m,One juvenile begging and following two adults feeding him. Habitat: mature mixed forest.,128000 (bps),mp3,level,Blue Jay (Cyanocitta cristata); Black-throated Green Warbler (Setophaga virens),139987,https://www.xeno-canto.org/139987,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-70.5544,6-10(s),08:05,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2079,5.0,no,bkcchi,2 (stereo),2013-07-18,Not specified,34,XC144664.mp3,Not specified,Black-capped Chickadee,Not specified,XC144664 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Seal Cove, Maine",44.257,44100 (Hz),presumed plastic song,0 m,,128000 (bps),mp3,Not specified,,144664,https://www.xeno-canto.org/144664,United States,Paul Driver,Poecile atricapillus_Black-capped Chickadee,-68.389,Not specified,07:10,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2080,4.0,no,bkcchi,2 (stereo),2013-10-05,decreasing,11,XC149941.mp3,both,Black-capped Chickadee,4-6,XC149941 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Montmagny, Québec",46.9872,44100 (Hz),call,30 m,"Habitat: mature mixed forest with clearings. Foraging with a small flock of Black-capped Chickadee, Dark-eyed Junco and Ruby-crowned Kinglet.",128000 (bps),mp3,both,,149941,https://www.xeno-canto.org/149941,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-70.5887,0-3(s),15:26,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2081,4.0,no,bkcchi,2 (stereo),2013-07-13,Not specified,44,XC154891.mp3,Not specified,Black-capped Chickadee,Not specified,XC154891 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Parc national des Hautes-Gorges-de-la-Rivière-Malbaie, Charlevoix-Est, Québec",47.8534,44100 (Hz),call,220 m,Habitat: mature mixed forest.,128000 (bps),mp3,Not specified,,154891,https://www.xeno-canto.org/154891,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-70.42,Not specified,18:54,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2082,4.0,,bkcchi,1 (mono),2011-03-24,Not specified,65,XC156532.mp3,Not specified,Black-capped Chickadee,Not specified,XC156532 Black-capped Chickadee (Poecile atricapillus),[],,Poecile atricapillus," New Westminster, Greater Vancouver, British Columbia",49.2116,44100 (Hz),call,80 m,,128000 (bps),mp3,Not specified,,156532,https://www.xeno-canto.org/156532,Canada,Ian Cruickshank,Poecile atricapillus_Black-capped Chickadee,-122.9045,Not specified,18:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2083,5.0,,bkcchi,1 (mono),2011-05-13,Not specified,92,XC156746.mp3,Not specified,Black-capped Chickadee,Not specified,XC156746 Black-capped Chickadee (Poecile atricapillus),[],,Poecile atricapillus," Montlake Fill, Seattle, Washington",47.6584,44100 (Hz),song,10 m,"Unique song dialect in this area.  Somewhere between here and Vancouver, B.C. this dialect switches to the normal song type found across most of the range of BCCH; all BCCH in the Vancouver, B.C. area give the widespread ""hey sweetie"" song type.",128000 (bps),mp3,Not specified,,156746,https://www.xeno-canto.org/156746,United States,Ian Cruickshank,Poecile atricapillus_Black-capped Chickadee,-122.289,Not specified,05:30,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2084,5.0,no,bkcchi,1 (mono),2014-01-12,Not specified,95,XC164791.mp3,Not specified,Black-capped Chickadee,Not specified,XC164791 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Minnesota Valley NWR, Cliff Fen, Dakota, Minnesota",44.7902,48000 (Hz),call,220 m,"A small group of 4-6 birds.

Recorded with parabolic microphone.  Filtered low frequencies for nearby highway noise.",192000 (bps),mp3,Not specified,,164791,https://www.xeno-canto.org/164791,United States,Jonathon Jongsma,Poecile atricapillus_Black-capped Chickadee,-93.2756,Not specified,14:29,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
2085,4.0,no,bkcchi,2 (stereo),2014-03-05,decreasing,19,XC168882.mp3,level,Black-capped Chickadee,1-3,XC168882 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Lafayette, Colorado",Not specified,44100 (Hz),song,"1,650 m m","The background sound is wet snow melting quickly in bright sunshine. You can hear it falling from trees, shrubs, etc. I filtered out the lowest-frequency ""noise.""",320000 (bps),mp3,decreasing,,168882,https://www.xeno-canto.org/168882,United States,Ted Floyd,Poecile atricapillus_Black-capped Chickadee,Not specified,0-3(s),10:04,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2086,3.5,,bkcchi,1 (mono),2007-03-08,both,21,XC16900.mp3,decelerating,Black-capped Chickadee,7-20,XC16900 Black-capped Chickadee (Poecile atricapillus),"['Baeolophus bicolor_Tufted Titmouse', 'Corvus brachyrhynchos_American Crow']",,Poecile atricapillus," Michigan, Dexter-Huron Metropark",42.33226,44100 (Hz),call,220 m,,104895 (bps),mp3,increasing,Tufted Titmouse (Baeolophus bicolor); American Crow (Corvus brachyrhynchos),16900,https://www.xeno-canto.org/16900,United States,Allen T. Chartier,Poecile atricapillus_Black-capped Chickadee,-83.8555,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2087,3.5,,bkcchi,1 (mono),2007-06-07,decreasing,5,XC17094.mp3,level,Black-capped Chickadee,1-3,XC17094 Black-capped Chickadee (Poecile atricapillus),['Vireo olivaceus_Red-eyed Vireo'],,Poecile atricapillus," Michigan, Pinckney SRA",42.42615,44100 (Hz),Song,285 m,,93639 (bps),mp3,level,Red-eyed Vireo (Vireo olivaceus),17094,https://www.xeno-canto.org/17094,United States,Allen T. Chartier,Poecile atricapillus_Black-capped Chickadee,-83.97078,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
2088,4.5,no,bkcchi,2 (stereo),2014-04-01,decreasing,29,XC174869.mp3,level,Black-capped Chickadee,4-6,XC174869 Black-capped Chickadee (Poecile atricapillus),"['Spinus pinus_Pine Siskin', 'Haemorhous mexicanus_House Finch']",yes,Poecile atricapillus," Logan, Cache County, Utah",41.751,44100 (Hz),call,1400 m,[eBird checklist.](http://ebird.org/ebird/view/checklist?subID=S17695785),128000 (bps),mp3,level,Pine Siskin (Spinus pinus); House Finch (Haemorhous mexicanus),174869,https://www.xeno-canto.org/174869,United States,Ryan P. O'Donnell,Poecile atricapillus_Black-capped Chickadee,-111.822,0-3(s),11:50,Ryan P. O'Donnell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2089,4.0,no,bkcchi,2 (stereo),2014-04-18,Not specified,83,XC175038.mp3,Not specified,Black-capped Chickadee,Not specified,XC175038 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Marais Léon-Provancher, Portneuf, Québec",46.7179,44100 (Hz),"call, flight call",10 m,"Flock of 6 individuals foraging. Most of the calls in foreground are made by a single individual, while some contact calls are produced by the other members of the flock. Habitat: open mixed forest.",128000 (bps),mp3,Not specified,,175038,https://www.xeno-canto.org/175038,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-71.5345,Not specified,08:56,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2090,5.0,no,bkcchi,2 (stereo),2014-04-18,Not specified,60,XC175039.mp3,Not specified,Black-capped Chickadee,Not specified,XC175039 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Marais Léon-Provancher, Portneuf, Québec",46.7179,44100 (Hz),"call, flight call",10 m,"Most of the calls in foreground are made by a single individual (not the one featured in XC175039), while some contact calls are produced by the five other members of the flock. Habitat: open mixed forest.",128000 (bps),mp3,Not specified,,175039,https://www.xeno-canto.org/175039,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-71.5345,Not specified,09:04,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2091,3.5,,bkcchi,2 (stereo),2014-05-10,Not specified,98,XC178778.mp3,Not specified,Black-capped Chickadee,Not specified,XC178778 Black-capped Chickadee (Poecile atricapillus),"['Turdus migratorius_American Robin', 'Cyanocitta cristata_Blue Jay']",,Poecile atricapillus," Arvada, Jefferson County, Colorado",39.8239,44100 (Hz),call,1700 m,,320000 (bps),mp3,Not specified,American Robin (Turdus migratorius); Blue Jay (Cyanocitta cristata),178778,https://www.xeno-canto.org/178778,United States,Jerome Cech,Poecile atricapillus_Black-capped Chickadee,-105.1538,Not specified,06:00,Jerome Cech,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2092,3.5,,bkcchi,2 (stereo),2014-05-10,Not specified,96,XC178779.mp3,Not specified,Black-capped Chickadee,Not specified,XC178779 Black-capped Chickadee (Poecile atricapillus),['Haemorhous mexicanus_House Finch'],,Poecile atricapillus," Arvada, Jefferson County, Colorado",39.8239,44100 (Hz),call,1700 m,,320000 (bps),mp3,Not specified,House Finch (Haemorhous mexicanus),178779,https://www.xeno-canto.org/178779,United States,Jerome Cech,Poecile atricapillus_Black-capped Chickadee,-105.1538,Not specified,06:00,Jerome Cech,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2093,3.5,no,bkcchi,1 (mono),2014-05-04,Not specified,40,XC179792.mp3,Not specified,Black-capped Chickadee,Not specified,XC179792 Black-capped Chickadee (Poecile atricapillus),['Spizella passerina_Chipping Sparrow'],yes,Poecile atricapillus," Ithaca, Tompkins County, New York",42.4247,44100 (Hz),"begging call, call",220 m,"Natural vocalizations, including 'begging calls' from a pair that were moving through brush (about 1m up) along boundaries of suburban yards. Presumably, this was a pair in which the female was soliciting courtship feeding with the begging calls.",128000 (bps),mp3,Not specified,Chipping Sparrow (Spizella passerina),179792,https://www.xeno-canto.org/179792,United States,Dan Lane,Poecile atricapillus_Black-capped Chickadee,-76.479,Not specified,13:00,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2094,4.0,no,bkcchi,2 (stereo),2014-05-25,Not specified,68,XC182680.mp3,Not specified,Black-capped Chickadee,Not specified,XC182680 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Rivière Missisquoi, Sutton, Brome-Missisquoi, Québec",45.0336,44100 (Hz),"call, contact call, flight call",180 m,"Two excited individuals interacting in a small flock of warblers. Habitat: bushes, mature deciduous forest, river.",128000 (bps),mp3,Not specified,,182680,https://www.xeno-canto.org/182680,Canada,Martin St-Michel,Poecile atricapillus_Black-capped Chickadee,-72.5555,Not specified,06:26,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2095,3.5,yes,bkcchi,1 (mono),2014-06-28,level,38,XC184306.mp3,accelerating,Black-capped Chickadee,1-3,XC184306 Black-capped Chickadee (Poecile atricapillus),['Agelaius phoeniceus_Red-winged Blackbird'],yes,Poecile atricapillus," Chautauqua (near  Sherman), Chautauqua County, New York. Sheldon Trail, Chautauqua Rails-to-Trails",42.1932,48000 (Hz),song,480 m,"The intervals between the song was not shortened, but noise reduction was used to lessen the highway noise in the background. The habitat was successional hardwood forest within a wetland area. I used playback to attract the bird closer to get a better quality recording. A pair of adult birds and 2 juveniles were observed. Near the end a Red-winged Blackbird sings.",128000 (bps),mp3,level,Red-winged Blackbird (Agelaius phoeniceus),184306,https://www.xeno-canto.org/184306,United States,Jim Berry,Poecile atricapillus_Black-capped Chickadee,-79.5778,0-3(s),11:00,Jim Berry,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2096,4.0,no,bkcchi,1 (mono),2014-06-25,Not specified,3,XC206087.mp3,Not specified,Black-capped Chickadee,Not specified,XC206087 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Nature Conservancy South Fork Preserve, San Miguel County, Colorado",37.8951,48000 (Hz),song,2500 m,"Very short sample of typical, natural song.",128000 (bps),mp3,Not specified,,206087,https://www.xeno-canto.org/206087,United States,Eric DeFonso,Poecile atricapillus_Black-capped Chickadee,-107.9069,Not specified,09:20,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2097,4.5,no,bkcchi,1 (mono),2014-06-25,Not specified,67,XC206088.mp3,Not specified,Black-capped Chickadee,Not specified,XC206088 Black-capped Chickadee (Poecile atricapillus),"['Leiothlypis celata_Orange-crowned Warbler', 'Turdus migratorius_American Robin', 'Vireo gilvus_Warbling Vireo']",yes,Poecile atricapillus," Nature Conservancy South Fork Preserve, San Miguel County, Colorado",37.8951,48000 (Hz),call,2500 m,"Tinkly calls and chick-a-dee notes interspersed, given from tall willow grove near boardwalk and observation platform.",128000 (bps),mp3,Not specified,Orange-crowned Warbler (Leiothlypis celata); American Robin (Turdus migratorius); Warbling Vireo (Vireo gilvus),206088,https://www.xeno-canto.org/206088,United States,Eric DeFonso,Poecile atricapillus_Black-capped Chickadee,-107.9069,Not specified,09:20,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2098,5.0,no,bkcchi,1 (mono),2014-06-25,Not specified,17,XC206090.mp3,Not specified,Black-capped Chickadee,Not specified,XC206090 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Nature Conservancy South Fork Preserve, San Miguel County, Colorado",37.8951,48000 (Hz),song,2500 m,"Natural song (5 strophes), given from tall willow grove near boardwalk and observation platform.",128000 (bps),mp3,Not specified,,206090,https://www.xeno-canto.org/206090,United States,Eric DeFonso,Poecile atricapillus_Black-capped Chickadee,-107.9069,Not specified,09:20,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2099,5.0,no,bkcchi,2 (stereo),2014-08-26,both,51,XC210516.mp3,level,Black-capped Chickadee,4-6,XC210516 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Elm Creek Park Reserve, Maple Grove, MN",45.1545,44100 (Hz),"call, song",280 m,Same bird as XC210518.,320000 (bps),mp3,level,,210516,https://www.xeno-canto.org/210516,United States,Greg Irving,Poecile atricapillus_Black-capped Chickadee,-93.4499,0-3(s),14:30,Greg Irving,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2100,5.0,no,bkcchi,2 (stereo),2014-08-26,both,36,XC210518.mp3,level,Black-capped Chickadee,4-6,XC210518 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Elm Creek Park Reserve, Maple Grove, MN",45.1545,44100 (Hz),"call, song",280 m,Same bird as XC210516.,320000 (bps),mp3,level,,210518,https://www.xeno-canto.org/210518,United States,Greg Irving,Poecile atricapillus_Black-capped Chickadee,-93.4499,0-3(s),14:30,Greg Irving,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2101,4.0,no,bkcchi,2 (stereo),2015-01-27,decreasing,1,XC211484.mp3,level,Black-capped Chickadee,1-3,XC211484 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Boulder, Boulder County, Colorado",40.0441,44100 (Hz),song,1600 m,A Black-capped Chickadee on the Sawhill side of the Walden/Sawhill complex. Low-frequency airplane noise (a constant problem at the site) filtered out.,320000 (bps),mp3,level,,211484,https://www.xeno-canto.org/211484,United States,Ted Floyd,Poecile atricapillus_Black-capped Chickadee,-105.1833,0-3(s),08:49,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2102,5.0,no,bkcchi,2 (stereo),2015-03-07,decreasing,20,XC216075.mp3,level,Black-capped Chickadee,1-3,XC216075 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Gunbarrel, Boulder County, Colorado",40.06,44100 (Hz),song,1600 m,"Two singing Black-capped Chickadees along the Twin Lakes Regional Trail, Boulder County, Colorado.",320000 (bps),mp3,level,,216075,https://www.xeno-canto.org/216075,United States,Ted Floyd,Poecile atricapillus_Black-capped Chickadee,-105.215,0-3(s),07:49,Ted Floyd,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2103,4.0,no,bkcchi,2 (stereo),2015-06-01,Not specified,5,XC253535.mp3,Not specified,Black-capped Chickadee,Not specified,XC253535 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Teller Farms, Boulder County, Colorado",40.0358,44100 (Hz),song,1600 m,Brief cut of natural song from a bird working the russian olives near Teller Lake #5.,128000 (bps),mp3,Not specified,,253535,https://www.xeno-canto.org/253535,United States,Eric DeFonso,Poecile atricapillus_Black-capped Chickadee,-105.1415,Not specified,05:35,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2104,4.0,no,bkcchi,2 (stereo),2015-07-29,Not specified,59,XC264343.mp3,Not specified,Black-capped Chickadee,Not specified,XC264343 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Katmai Dormitory, King Salmon, AK",58.6815,44100 (Hz),call,10 m,"Bird seen moving up a white spruce, looking and picking among the finer stems.  
Local area was at the edge of a parking lot in a rural Alaskan village.",128000 (bps),mp3,Not specified,,264343,https://www.xeno-canto.org/264343,United States,Davyd Betchkal,Poecile atricapillus_Black-capped Chickadee,-156.6688,Not specified,07:26,Davyd Betchkal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
2105,4.0,no,bkcchi,2 (stereo),2010-09-19,Not specified,12,XC265075.mp3,Not specified,Black-capped Chickadee,Not specified,XC265075 Black-capped Chickadee (Poecile atricapillus),[],no,Poecile atricapillus," Lower River Platform, Katmai National Park, AK",58.5526,44100 (Hz),call,20 m,"Near the Lower River Platform at Brooks Camp, near the mouth of the Brooks River as it empties into Naknek Lake.",64000 (bps),mp3,Not specified,,265075,https://www.xeno-canto.org/265075,United States,NPS,Poecile atricapillus_Black-capped Chickadee,-155.7781,Not specified,19:52,NPS,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
